Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"ÉPIC 1 — Authentification, Comptes & Sécurité",GED-1,10409,Epic,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:12 PM,22/Dec/25 12:14 PM,02/Jan/26 2:07 PM,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},purple,0|i000sn:,,22/Dec/25 12:00 AM,,,,,,,To Do,22/Dec/25 12:12 PM
ÉPIC 2 — Gestion Documentaire RH (GED),GED-2,10410,Epic,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:13 PM,22/Dec/25 12:13 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},purple,0|i000sv:,,,,,,,,,To Do,22/Dec/25 12:13 PM
ÉPIC 3 — Formulaires RH Dynamiques,GED-3,10411,Epic,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:13 PM,22/Dec/25 12:13 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},purple,0|i000t3:,,,,,,,,,To Do,22/Dec/25 12:13 PM
ÉPIC 4 — Gestion des Candidats & Workflows,GED-4,10412,Epic,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:13 PM,22/Dec/25 12:13 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},purple,0|i000tb:,,,,,,,,,To Do,22/Dec/25 12:13 PM
ÉPIC 5 — Entretiens & Agenda,GED-5,10413,Epic,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:13 PM,22/Dec/25 12:13 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},purple,0|i000tj:,,,,,,,,,To Do,22/Dec/25 12:13 PM
ÉPIC 6 — Notifications Temps Réel,GED-6,10414,Epic,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:13 PM,22/Dec/25 12:13 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},purple,0|i000tr:,,,,,,,,,To Do,22/Dec/25 12:13 PM
ÉPIC 7 — Architecture & Qualité NestJS,GED-7,10415,Epic,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:13 PM,22/Dec/25 12:13 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},purple,0|i000tz:,,,,,,,,,To Do,22/Dec/25 12:13 PM
ÉPIC 8 — Documentation & Livraison,GED-8,10416,Epic,Done,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,Done,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:13 PM,22/Dec/25 5:08 PM,22/Dec/25 5:09 PM,22/Dec/25 5:08 PM,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-22T17:08:18.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",purple,0|i000u7:,,,,,,,,,Done,22/Dec/25 5:08 PM
User Story 1.1 — Authentification,GED-9,10417,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:15 PM,22/Dec/25 12:18 PM,25/Dec/25 2:56 PM,,,0,"En tant qu’utilisateur RH, je veux m’authentifier pour accéder à l’API selon mon rôle.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000uf:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10409,GED-1,"ÉPIC 1 — Authentification, Comptes & Sécurité",In Progress,22/Dec/25 12:16 PM
User Story 1.2 — Comptes & Sous-comptes,GED-10,10418,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 12:15 PM,22/Dec/25 12:19 PM,22/Dec/25 2:19 PM,,,0,"En tant qu’admin RH, je veux créer des sous-comptes avec rôles et permissions.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i000un:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10409,GED-1,"ÉPIC 1 — Authentification, Comptes & Sécurité",In Progress,22/Dec/25 12:18 PM
